lipid_id,lipids,160_Plasma,163_Plasma,167_Plasma,168_Plasma,158_Plasma,161_Plasma,162_Plasma,164_Plasma,170_Plasma
9615_p,SM 34:1;O2,10842652,7425784,7902177,8804376,9921148,5024376.5,9835708,18486212,13824127
9618_p,PE P-36:3|PE P-18:1_18:2,9685428,18508822,29622286,14449736,7768700.5,8978998,15210750,12864016,9235424
9619_p,PE P-36:3|PE P-18:1_18:2,9638340,14040858,18382836,14817616,7945763.5,8527379,12519939,12864016,10218232
9628_p,SM 36:3;O2|SM 18:2;O2/18:1,13743994,19405102,27490740,23528422,14475601,16627798,16174372,13234761,16229083
9629_p,PC 32:3,3598032.25,5160594.5,5523529,5114305.5,7241270.5,5182382,4720148.5,2157838,5008660
9630_p,PE P-36:2|PE P-18:0_18:2,29000820,42733552,46313088,50541032,43534824,37981856,44204544,41497136,50566160
9639_p,SM 36:2;O2|SM 18:2;O2/18:0,107300952,99574872,107194296,105411488,73021880,85962208,84473136,107039176,79189136
9640_p,PC 32:2|PC 14:0_18:2,170307776,239339008,244651968,239520976,340781504,253336416,232695088,112506856,237489280
9641_p,PC 32:2,253835216,328859264,180693488,197434064,437900448,364563744,275854784,161061648,200967936
9642_p,PE P-36:1|PE P-18:0_18:1,12612881,20602112,22170010,23791562,22448148,20090002,23982682,20829342,26269676
9643_p,PC O-33:2|PC O-15:0_18:2,41534068,76144808,89636296,96204752,70488368,75074728,91819024,71772200,91391432
9644_p,Cer 47:7;O2|Cer 30:3;O2/17:4,4313203,7522121,9956984,5443913,3191103,7489472,3810710,2433619.25,2649708
9647_p,SM 36:1;O2|SM 18:1;O2/18:0,284867424,284210912,276981888,276629440,203692160,248654656,240359712,332661536,245360192
9650_p,PC 32:1|PC 16:0_16:1,487345728,525529504,555959680,575905024,798058944,567155904,494351584,341868832,531650112
9652_p,PC 32:1,784335104,624882432,550408512,575445632,1130226176,580575872,516690656,472862784,531200832
9653_p,PE O-36:1,31771064,62909588,70680336,80497912,60359968,70926328,83958936,64672224,82442008
9664_p,DG 43:6,50429048,60528852,74806224,74594944,90568096,67073556,57866108,35782928,77232288
9669_p,PC 32:0|PC 16:0_16:0,1842391680,1846375296,2027839872,2087913600,1597912832,1687125760,1504167040,1511987200,1431135744
9670_p,PC 32:0|PC 16:0_16:0,1760118144,1738935296,1832477952,1990421120,1478051584,1611464960,1323693952,1468085760,1344273152
9672_p,HexCer 34:0;O4|HexCer 18:0;O3/16:0(2OH),7395217,8750845,16427248,10450535,10253163,10844902,9903412,9943478,10868869
9688_p,TG 42:2|TG 8:0_16:0_18:2,6743265.5,4926682,8627367,4629163.5,13043331,6735158,3730016.25,2219117.25,6455828
9694_p,PC O-34:5|PC O-14:1_20:4,4148490.5,6353769,7399971,4565823.5,2932289.75,3148689.5,2676879.5,2891939.75,2411351.5
9698_p,SM 36:2;O2(d9)|SM 18:1;O2/18:1(d9),56288072,50203880,58037408,44080056,53250492,56778472,57600892,62615280,54182620
9699_p,TG 42:1|TG 8:0_16:0_18:1,16096498,11272608,17802002,11018015,29578318,14977146,9321716,5497930.5,13619909
9707_p,PE 36:4|PE 16:0_20:4,28973260,49342624,40210908,40101172,51198068,58254444,55924800,23567246,68790928
9708_p,PE 36:4|PE 18:2_18:2,28287572,46749288,39389912,36698588,49853080,54468904,56028484,23632796,65415448
9709_p,PC O-34:4|PC O-14:0_20:4,7442428.5,10246132,13549930,11449552,6806751.5,7043416,8972228,7185296,7311040.5
9711_p,TG 42:0|TG 12:0_14:0_16:0,18519776,13812686,16822118,13819666,31672046,17982110,13433973,10256687,18955516
9718_p,PC 33:3|PC 18:0_15:3,9117665,10106108,14706073,9620096,10090940,12216709,9770885,4394001.5,8175375
9719_p,PC 33:3,7317055.5,10547274,17113064,10854052,9855502,13812113,11166083,5350794,9171210
9720_p,PC O-34:3,3293807.75,3368005.5,4670290,3126080.5,3821412.75,5612559,4686015,6110016.5,4131870
9721_p,PC O-34:3|PC O-16:1_18:2,139826624,194786048,163376480,152301056,142785744,121638544,129356448,137463952,134124912
9724_p,CE 24:6,3719926.5,13939425,12856320,7215932.5,3094069.75,4315155.5,10327841,10593294,5311742
9734_p,PE 36:2|PE 18:0_18:2,235795280,296498144,296895808,321700544,587237248,334448544,374002016,170502640,358350752
9735_p,PC 33:2|PC 15:0_18:2,223425760,267729936,286366432,300475392,268106672,288263936,301283424,188186880,318621952
9736_p,PC O-34:2|PC O-16:1_18:1,353168608,510948128,530064064,456007040,379286816,439651040,311728096,287866304,414357344
