contrast,set,pval,padj,log2err,ES,NES,size,leadingEdge
Mizoribine - Vehicle,total_cl_15,0.6952554744525548,0.7983257814299977,0.0582216241124161,-0.43497346329458875,-0.8029504449950466,5,
Mizoribine - Vehicle,total_cl_78,0.7015590200445434,0.7983257814299977,0.06736238681662789,0.3820870704824346,0.7843728084294861,6,
Mizoribine - Vehicle,total_cl_82,0.6861471861471862,0.7983257814299977,0.06705125798294667,0.4506970624630454,0.8215324709339811,4,
Mizoribine - Vehicle,Class_LPEO,0.7377938517179023,0.8300180831826401,0.05502111171631165,-0.40793753232880975,-0.7732320120599583,6,
Mizoribine - Vehicle,total_cl_55,0.7548076923076923,0.8396175453759723,0.0675188953767744,0.3106325495958529,0.7147305857792771,11,
Mizoribine - Vehicle,Class_PC,0.784,0.86240000000000006,0.09255288646847727,0.21840661039600134,0.8883959336271974,253,
Mizoribine - Vehicle,total_cl_51,0.8136792452830188,0.8852114866265809,0.06293946920189672,0.29947811953806286,0.6738121727547274,10,
Mizoribine - Vehicle,total_cl_32,0.8394366197183099,0.8935938209904588,0.07011321576425601,0.24207581266764192,0.6835971265036515,28,
Mizoribine - Vehicle,total_cl_43,0.8330522765598651,0.8935938209904588,0.046230252407761636,-0.2963854265558925,-0.6627505848362255,12,
Mizoribine - Vehicle,Class_PG,0.9204339963833634,0.9591891120205576,0.044864511316856426,-0.30540180287007135,-0.578878950342875,6,
Mizoribine - Vehicle,total_cs_6,0.9163879598662207,0.9591891120205576,0.07436253844225256,0.20939853272057385,0.7373717290536864,102,
Mizoribine - Vehicle,total_cl_25,0.96045197740113,0.9901306624041295,0.04477488932969301,-0.317631644180029,-0.5250092808276294,3,
Mizoribine - Vehicle,total_cs_5,0.9701280227596017,0.9901306624041295,0.03120529699633362,-0.196238193235216,-0.6344342508076527,102,
Mizoribine - Vehicle,Class_SM,0.9883381924198251,0.9932659932659933,0.031492890247129667,-0.18676399612787972,-0.5566858670622524,62,
Mizoribine - Vehicle,total_cs_4,0.9932659932659933,0.9932659932659933,0.07061962471225905,0.17548345069609422,0.6440672485706374,132,
